train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
2.01e-03,1.00e+06,2.11e-03,1.88e-03,9.29e+05,-6.29e+00,8,2.29e+00,1.17e-01,2.35e-02,2.43e+00
1.91e-03,8.74e+05,1.99e-03,1.86e-03,9.18e+05,-6.30e+00,9,2.28e+00,1.16e-01,1.16e-01,2.52e+00
1.81e-03,8.06e+05,1.89e-03,1.75e-03,8.13e+05,-6.35e+00,10,2.29e+00,1.15e-01,3.03e-02,2.44e+00
1.74e-03,7.66e+05,1.82e-03,1.61e-03,7.71e+05,-6.44e+00,11,2.28e+00,1.15e-01,2.64e-02,2.43e+00
1.68e-03,7.21e+05,1.76e-03,1.49e-03,7.04e+05,-6.52e+00,12,2.29e+00,1.15e-01,1.18e-01,2.52e+00
1.62e-03,6.81e+05,1.69e-03,1.42e-03,6.45e+05,-6.57e+00,13,2.30e+00,1.15e-01,2.63e-02,2.44e+00
1.57e-03,6.52e+05,1.64e-03,1.38e-03,6.08e+05,-6.59e+00,14,2.29e+00,1.15e-01,1.17e-01,2.52e+00
1.53e-03,6.21e+05,1.59e-03,1.36e-03,6.07e+05,-6.60e+00,15,2.30e+00,1.15e-01,1.17e-01,2.53e+00
1.50e-03,6.08e+05,1.56e-03,1.33e-03,5.52e+05,-6.63e+00,16,2.29e+00,1.16e-01,1.14e-01,2.52e+00
1.47e-03,5.84e+05,1.53e-03,1.30e-03,5.45e+05,-6.65e+00,17,2.29e+00,1.15e-01,1.29e-01,2.53e+00
1.45e-03,5.68e+05,1.50e-03,1.31e-03,5.31e+05,-6.65e+00,18,2.29e+00,1.16e-01,1.05e-01,2.51e+00
1.42e-03,5.46e+05,1.47e-03,1.32e-03,5.13e+05,-6.64e+00,19,2.29e+00,1.15e-01,1.23e-01,2.53e+00
1.39e-03,5.29e+05,1.44e-03,1.32e-03,5.17e+05,-6.64e+00,20,2.29e+00,1.18e-01,1.20e-01,2.52e+00
1.36e-03,5.12e+05,1.41e-03,1.31e-03,5.23e+05,-6.64e+00,21,2.29e+00,1.16e-01,6.36e-02,2.47e+00
1.33e-03,5.01e+05,1.38e-03,1.31e-03,4.87e+05,-6.64e+00,22,2.29e+00,1.15e-01,2.14e-02,2.43e+00
1.31e-03,4.89e+05,1.36e-03,1.32e-03,4.97e+05,-6.63e+00,23,2.29e+00,1.15e-01,2.18e-02,2.43e+00
1.29e-03,4.78e+05,1.33e-03,1.31e-03,4.68e+05,-6.64e+00,24,2.29e+00,1.15e-01,8.82e-02,2.49e+00
1.26e-03,4.51e+05,1.31e-03,1.29e-03,4.44e+05,-6.66e+00,25,2.32e+00,1.15e-01,1.17e-01,2.55e+00
1.24e-03,4.37e+05,1.29e-03,1.28e-03,4.28e+05,-6.67e+00,26,2.30e+00,1.15e-01,1.27e-01,2.54e+00
1.23e-03,4.28e+05,1.27e-03,1.26e-03,4.23e+05,-6.68e+00,27,2.29e+00,1.16e-01,2.65e-02,2.43e+00
1.21e-03,4.22e+05,1.25e-03,1.26e-03,4.15e+05,-6.68e+00,28,2.29e+00,1.15e-01,2.64e-02,2.43e+00
1.19e-03,4.06e+05,1.23e-03,1.26e-03,4.01e+05,-6.68e+00,29,2.29e+00,1.16e-01,2.64e-02,2.44e+00
