var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
2.0,2.0,train_closed,1.118,1.131,0.139,0.849,0.0,0.156,0.161,0.171,0.164
2.0,2.0,train_open,1.265,1.328,0.285,0.563,0.0,0.156,0.16,0.174,0.164
2.0,3.0,test_trans,2.106,2.184,0.532,0.885,0.011,0.149,0.156,0.164,0.16
2.0,3.0,train_closed,1.089,1.107,0.136,0.858,0.037,0.131,0.143,0.15,0.144
2.0,3.0,train_open,1.257,1.323,0.273,0.534,0.132,0.136,0.139,0.152,0.141
2.0,4.0,test_trans,2.121,2.238,0.569,0.878,0.0,0.169,0.177,0.187,0.174
2.0,4.0,train_closed,1.103,1.114,0.142,0.845,0.0,0.147,0.152,0.163,0.155
2.0,4.0,train_open,1.259,1.319,0.269,0.551,0.0,0.15,0.154,0.164,0.147
2.0,5.0,test_trans,2.146,2.226,0.532,0.871,0.192,0.141,0.139,0.138,0.149
2.0,5.0,train_closed,1.085,1.1,0.136,0.848,0.334,0.125,0.125,0.12,0.134
2.0,5.0,train_open,1.249,1.309,0.264,0.566,0.004,0.127,0.129,0.131,0.136
3.0,1.0,test_trans,2.357,2.873,1.314,0.287,0.271,0.105,0.117,0.119,0.113
3.0,1.0,train_closed,1.048,1.066,0.146,0.853,0.367,0.099,0.109,0.109,0.107
3.0,1.0,train_open,1.185,1.218,0.194,0.701,0.536,0.101,0.113,0.115,0.112
3.0,2.0,test_trans,2.278,2.723,1.19,0.326,0.406,0.1,0.107,0.106,0.114
3.0,2.0,train_closed,1.019,1.037,0.135,0.862,0.772,0.093,0.097,0.099,0.105
3.0,2.0,train_open,1.153,1.187,0.181,0.717,0.534,0.098,0.106,0.106,0.109
3.0,3.0,test_trans,2.213,2.769,1.321,0.249,0.16,0.101,0.11,0.115,0.105
3.0,3.0,train_closed,1.013,1.028,0.128,0.884,0.49,0.094,0.101,0.109,0.097
3.0,3.0,train_open,1.139,1.176,0.183,0.723,0.611,0.095,0.105,0.11,0.103
3.0,4.0,test_trans,2.266,2.798,1.249,0.277,0.444,0.111,0.117,0.117,0.111
3.0,4.0,train_closed,1.046,1.065,0.145,0.871,0.682,0.105,0.112,0.108,0.103
3.0,4.0,train_open,1.178,1.212,0.187,0.699,0.616,0.106,0.114,0.114,0.108
3.0,5.0,test_trans,2.358,2.354,0.614,0.819,0.028,0.15,0.156,0.157,0.159
3.0,5.0,train_closed,1.102,1.122,0.163,0.829,0.33,0.12,0.129,0.131,0.131
3.0,5.0,train_open,1.224,1.257,0.21,0.642,0.017,0.138,0.138,0.14,0.146
4.0,1.0,test_trans,1.927,1.997,0.41,0.932,0.184,0.119,0.123,0.13,0.121
4.0,1.0,train_closed,0.998,1.01,0.108,0.911,0.735,0.1,0.104,0.106,0.106
4.0,1.0,train_open,1.133,1.157,0.145,0.814,0.64,0.098,0.108,0.116,0.109
4.0,2.0,test_trans,1.945,1.998,0.392,0.938,0.121,0.128,0.136,0.135,0.126
4.0,2.0,train_closed,1.025,1.032,0.109,0.919,0.693,0.109,0.112,0.113,0.108
4.0,2.0,train_open,1.134,1.16,0.151,0.829,0.502,0.108,0.118,0.117,0.107
4.0,3.0,test_trans,2.069,2.101,0.398,0.907,0.0,0.211,0.21,0.215,0.221
4.0,3.0,train_closed,1.229,1.243,0.147,0.826,0.0,0.177,0.172,0.185,0.189
4.0,3.0,train_open,1.305,1.342,0.201,0.681,0.0,0.191,0.192,0.192,0.205
4.0,4.0,test_trans,1.944,1.991,0.41,0.936,0.086,0.128,0.13,0.136,0.131
4.0,4.0,train_closed,1.007,1.019,0.114,0.906,0.624,0.106,0.101,0.111,0.111
4.0,4.0,train_open,1.125,1.149,0.149,0.818,0.376,0.111,0.112,0.115,0.11
4.0,5.0,test_trans,1.965,2.012,0.405,0.936,0.087,0.129,0.143,0.142,0.128
4.0,5.0,train_closed,1.014,1.025,0.109,0.912,0.581,0.107,0.115,0.119,0.105
4.0,5.0,train_open,1.138,1.161,0.154,0.818,0.53,0.115,0.129,0.127,0.114
5.0,1.0,test_trans,1.886,1.928,0.32,0.963,0.014,0.153,0.162,0.172,0.166
5.0,1.0,train_closed,1.093,1.108,0.123,0.908,0.189,0.125,0.132,0.137,0.136
5.0,1.0,train_open,1.209,1.246,0.175,0.793,0.111,0.12,0.128,0.146,0.145
5.0,2.0,test_trans,1.881,1.92,0.33,0.962,0.004,0.162,0.174,0.172,0.178
5.0,2.0,train_closed,1.092,1.106,0.119,0.909,0.019,0.134,0.139,0.141,0.155
5.0,2.0,train_open,1.209,1.245,0.164,0.797,0.0,0.145,0.151,0.147,0.154
5.0,3.0,test_trans,1.846,1.881,0.329,0.956,0.011,0.145,0.149,0.138,0.144
5.0,3.0,train_closed,0.995,1.008,0.111,0.913,0.298,0.114,0.112,0.11,0.113
5.0,3.0,train_open,1.16,1.193,0.178,0.831,0.128,0.119,0.121,0.119,0.125
5.0,4.0,test_trans,1.905,1.944,0.329,0.959,0.021,0.146,0.152,0.161,0.146
5.0,4.0,train_closed,1.046,1.061,0.116,0.901,0.255,0.119,0.126,0.13,0.114
5.0,4.0,train_open,1.178,1.218,0.182,0.792,0.0,0.125,0.132,0.134,0.123
5.0,5.0,test_trans,1.913,1.946,0.34,0.962,0.003,0.166,0.186,0.186,0.173
5.0,5.0,train_closed,1.096,1.109,0.117,0.903,0.059,0.141,0.162,0.161,0.141
5.0,5.0,train_open,1.196,1.229,0.168,0.78,0.0,0.137,0.161,0.163,0.143
6.0,1.0,test_trans,1.859,1.897,0.353,0.917,0.0,0.182,0.188,0.196,0.186
6.0,1.0,train_closed,1.151,1.157,0.124,0.891,0.0,0.163,0.166,0.182,0.162
6.0,1.0,train_open,1.235,1.267,0.182,0.753,0.0,0.173,0.181,0.192,0.186
6.0,2.0,test_trans,1.864,1.899,0.341,0.92,0.0,0.163,0.17,0.183,0.188
6.0,2.0,train_closed,1.138,1.148,0.138,0.894,0.0,0.14,0.152,0.165,0.166
6.0,2.0,train_open,1.225,1.261,0.187,0.764,0.016,0.153,0.166,0.17,0.178
6.0,3.0,test_trans,1.857,1.894,0.347,0.907,0.0,0.167,0.173,0.176,0.18
6.0,3.0,train_closed,1.147,1.156,0.134,0.897,0.0,0.151,0.152,0.157,0.158
6.0,3.0,train_open,1.249,1.288,0.193,0.761,0.013,0.161,0.165,0.174,0.17
6.0,4.0,test_trans,1.895,1.922,0.366,0.907,0.0,0.178,0.182,0.192,0.185
6.0,4.0,train_closed,1.148,1.155,0.134,0.885,0.0,0.161,0.161,0.174,0.163
6.0,4.0,train_open,1.228,1.263,0.183,0.762,0.0,0.17,0.177,0.184,0.177
6.0,5.0,test_trans,1.904,1.937,0.355,0.923,0.0,0.196,0.195,0.209,0.194
6.0,5.0,train_closed,1.167,1.176,0.139,0.887,0.0,0.181,0.177,0.192,0.174
6.0,5.0,train_open,1.261,1.296,0.191,0.747,0.0,0.179,0.191,0.2,0.183
7.0,1.0,test_trans,1.749,1.785,0.335,0.968,0.156,0.116,0.13,0.124,0.122
7.0,1.0,train_closed,0.925,0.939,0.099,0.932,0.599,0.078,0.089,0.087,0.089
7.0,1.0,train_open,1.034,1.051,0.124,0.897,0.349,0.084,0.096,0.094,0.088
7.0,2.0,test_trans,1.735,1.758,0.305,0.967,0.035,0.123,0.129,0.136,0.134
7.0,2.0,train_closed,0.953,0.962,0.098,0.917,0.646,0.092,0.097,0.106,0.101
7.0,2.0,train_open,1.073,1.096,0.135,0.871,0.322,0.103,0.104,0.114,0.107
7.0,3.0,test_trans,1.75,1.767,0.306,0.966,0.051,0.122,0.13,0.135,0.131
7.0,3.0,train_closed,0.948,0.958,0.101,0.918,0.453,0.094,0.097,0.105,0.097
7.0,3.0,train_open,1.064,1.089,0.138,0.875,0.328,0.097,0.107,0.114,0.104
7.0,4.0,test_trans,1.751,1.788,0.327,0.967,0.058,0.121,0.132,0.144,0.124
7.0,4.0,train_closed,0.947,0.956,0.1,0.925,0.532,0.095,0.101,0.112,0.095
7.0,4.0,train_open,1.061,1.086,0.141,0.879,0.348,0.097,0.107,0.12,0.104
7.0,5.0,test_trans,1.73,1.762,0.315,0.967,0.044,0.124,0.136,0.139,0.127
7.0,5.0,train_closed,0.957,0.967,0.099,0.92,0.712,0.092,0.102,0.109,0.091
7.0,5.0,train_open,1.075,1.099,0.135,0.881,0.021,0.097,0.108,0.119,0.104
8.0,1.0,test_trans,2.002,2.001,0.469,0.942,0.263,0.112,0.13,0.129,0.116
8.0,1.0,train_closed,0.958,0.966,0.093,0.921,0.72,0.091,0.104,0.101,0.094
8.0,1.0,train_open,1.04,1.061,0.117,0.888,0.445,0.096,0.107,0.105,0.096
8.0,2.0,test_trans,1.826,1.826,0.348,0.95,0.011,0.123,0.124,0.129,0.121
8.0,2.0,train_closed,0.982,0.993,0.097,0.93,0.135,0.104,0.104,0.106,0.099
8.0,2.0,train_open,1.067,1.089,0.125,0.892,0.114,0.11,0.118,0.114,0.111
8.0,3.0,test_trans,1.961,1.982,0.379,0.925,0.0,0.169,0.181,0.183,0.18
8.0,3.0,train_closed,1.138,1.148,0.121,0.891,0.0,0.153,0.158,0.161,0.162
8.0,3.0,train_open,1.187,1.213,0.163,0.786,0.0,0.148,0.166,0.162,0.152
8.0,4.0,test_trans,1.954,1.999,0.471,0.94,0.144,0.124,0.14,0.142,0.135
8.0,4.0,train_closed,1.001,1.011,0.096,0.925,0.647,0.097,0.107,0.105,0.107
8.0,4.0,train_open,1.088,1.111,0.126,0.864,0.018,0.102,0.109,0.113,0.106
8.0,5.0,test_trans,2.005,1.986,0.437,0.95,0.0,0.128,0.143,0.137,0.132
8.0,5.0,train_closed,0.996,1.01,0.106,0.926,0.0,0.099,0.11,0.103,0.099
8.0,5.0,train_open,1.072,1.097,0.132,0.852,0.025,0.105,0.119,0.108,0.105
9.0,1.0,test_trans,1.662,1.708,0.341,0.97,0.115,0.116,0.119,0.129,0.116
9.0,1.0,train_closed,0.897,0.907,0.091,0.944,0.78,0.09,0.09,0.101,0.087
9.0,1.0,train_open,0.997,1.009,0.108,0.885,0.472,0.093,0.096,0.099,0.095
9.0,2.0,test_trans,1.753,1.772,0.342,0.962,0.088,0.135,0.14,0.136,0.144
9.0,2.0,train_closed,0.959,0.971,0.103,0.92,0.577,0.101,0.11,0.108,0.112
9.0,2.0,train_open,1.073,1.091,0.125,0.883,0.043,0.109,0.117,0.107,0.121
9.0,3.0,test_trans,1.793,1.809,0.344,0.969,0.058,0.141,0.146,0.145,0.151
9.0,3.0,train_closed,0.99,1.003,0.115,0.913,0.57,0.108,0.112,0.116,0.124
9.0,3.0,train_open,1.063,1.083,0.127,0.865,0.189,0.119,0.122,0.12,0.126
9.0,4.0,test_trans,1.745,1.768,0.317,0.967,0.006,0.139,0.138,0.145,0.143
9.0,4.0,train_closed,0.985,0.994,0.103,0.926,0.144,0.111,0.113,0.116,0.121
9.0,4.0,train_open,1.071,1.091,0.125,0.876,0.329,0.119,0.115,0.119,0.126
9.0,5.0,test_trans,1.774,1.802,0.334,0.962,0.062,0.138,0.144,0.146,0.147
9.0,5.0,train_closed,0.954,0.964,0.1,0.931,0.397,0.119,0.117,0.122,0.127
9.0,5.0,train_open,1.05,1.074,0.137,0.894,0.191,0.122,0.12,0.123,0.127
10.0,1.0,test_trans,1.658,1.666,0.241,0.967,0.074,0.126,0.136,0.139,0.134
10.0,1.0,train_closed,0.955,0.964,0.09,0.934,0.603,0.099,0.114,0.118,0.108
10.0,1.0,train_open,1.034,1.054,0.126,0.901,0.344,0.102,0.112,0.119,0.107
10.0,2.0,test_trans,1.648,1.652,0.273,0.968,0.099,0.109,0.129,0.131,0.122
10.0,2.0,train_closed,0.891,0.899,0.085,0.945,0.659,0.087,0.104,0.107,0.095
10.0,2.0,train_open,0.979,0.994,0.108,0.896,0.411,0.092,0.107,0.111,0.099
