train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.72e-03,1.04e+06,1.83e-03,1.71e-03,1.03e+06,-6.38e+00,8,4.79e+00,2.29e-01,3.85e-02,5.06e+00
1.63e-03,9.30e+05,1.73e-03,1.58e-03,9.48e+05,-6.45e+00,9,4.82e+00,2.24e-01,4.29e-02,5.09e+00
1.55e-03,8.59e+05,1.64e-03,1.51e-03,9.39e+05,-6.50e+00,10,4.76e+00,2.28e-01,4.47e-02,5.03e+00
1.49e-03,8.27e+05,1.57e-03,1.46e-03,9.20e+05,-6.54e+00,11,4.76e+00,2.23e-01,4.28e-02,5.02e+00
1.44e-03,7.87e+05,1.52e-03,1.42e-03,8.66e+05,-6.56e+00,12,4.76e+00,2.24e-01,4.22e-02,5.02e+00
1.40e-03,7.52e+05,1.48e-03,1.37e-03,7.93e+05,-6.60e+00,13,4.74e+00,2.26e-01,4.33e-02,5.01e+00
1.36e-03,7.11e+05,1.43e-03,1.33e-03,7.46e+05,-6.63e+00,14,4.76e+00,2.26e-01,4.24e-02,5.03e+00
1.34e-03,6.85e+05,1.40e-03,1.28e-03,7.10e+05,-6.67e+00,15,4.76e+00,2.25e-01,4.20e-02,5.03e+00
1.31e-03,6.65e+05,1.38e-03,1.27e-03,6.65e+05,-6.68e+00,16,4.76e+00,2.26e-01,4.21e-02,5.02e+00
1.28e-03,6.30e+05,1.34e-03,1.25e-03,6.74e+05,-6.70e+00,17,4.74e+00,2.22e-01,4.21e-02,5.01e+00
1.27e-03,6.22e+05,1.33e-03,1.20e-03,6.29e+05,-6.73e+00,18,4.76e+00,2.23e-01,4.31e-02,5.02e+00
1.24e-03,5.96e+05,1.30e-03,1.19e-03,6.20e+05,-6.74e+00,19,4.79e+00,2.25e-01,4.29e-02,5.06e+00
1.22e-03,5.82e+05,1.28e-03,1.18e-03,6.22e+05,-6.75e+00,20,4.75e+00,2.25e-01,4.45e-02,5.02e+00
1.20e-03,5.64e+05,1.26e-03,1.15e-03,5.69e+05,-6.77e+00,21,4.77e+00,2.27e-01,4.31e-02,5.04e+00
1.18e-03,5.52e+05,1.24e-03,1.16e-03,5.97e+05,-6.77e+00,22,4.78e+00,2.24e-01,3.49e-02,5.04e+00
1.17e-03,5.40e+05,1.22e-03,1.14e-03,5.56e+05,-6.78e+00,23,4.76e+00,2.26e-01,4.22e-02,5.03e+00
1.16e-03,5.18e+05,1.21e-03,1.15e-03,5.72e+05,-6.77e+00,24,4.74e+00,2.24e-01,3.54e-02,5.00e+00
1.14e-03,5.09e+05,1.19e-03,1.15e-03,5.70e+05,-6.77e+00,25,4.75e+00,2.25e-01,3.49e-02,5.01e+00
1.12e-03,4.97e+05,1.17e-03,1.15e-03,5.43e+05,-6.78e+00,26,4.77e+00,2.21e-01,3.43e-02,5.03e+00
1.12e-03,4.91e+05,1.17e-03,1.14e-03,5.25e+05,-6.78e+00,27,4.73e+00,2.25e-01,4.16e-02,5.00e+00
1.11e-03,4.83e+05,1.16e-03,1.16e-03,5.31e+05,-6.77e+00,28,4.76e+00,2.25e-01,3.49e-02,5.02e+00
1.11e-03,4.88e+05,1.16e-03,1.17e-03,4.76e+05,-6.76e+00,29,4.77e+00,2.26e-01,3.54e-02,5.03e+00
