train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
2.22e-03,1.05e+06,2.33e-03,2.14e-03,1.06e+06,-6.15e+00,8,5.09e+00,2.42e-01,3.93e-02,5.37e+00
2.12e-03,9.48e+05,2.21e-03,2.04e-03,1.02e+06,-6.20e+00,9,5.09e+00,2.50e-01,4.44e-02,5.38e+00
2.02e-03,8.89e+05,2.11e-03,1.92e-03,9.51e+05,-6.26e+00,10,5.10e+00,2.40e-01,4.57e-02,5.38e+00
1.95e-03,8.67e+05,2.04e-03,1.85e-03,9.53e+05,-6.30e+00,11,5.19e+00,2.47e-01,4.79e-02,5.49e+00
1.88e-03,8.22e+05,1.96e-03,1.80e-03,9.54e+05,-6.32e+00,12,5.09e+00,2.38e-01,4.47e-02,5.37e+00
1.82e-03,7.87e+05,1.90e-03,1.75e-03,8.56e+05,-6.36e+00,13,5.10e+00,2.46e-01,4.43e-02,5.39e+00
1.77e-03,7.48e+05,1.85e-03,1.65e-03,7.77e+05,-6.42e+00,14,5.07e+00,2.39e-01,4.40e-02,5.35e+00
1.73e-03,7.00e+05,1.80e-03,1.60e-03,7.54e+05,-6.44e+00,15,5.09e+00,2.49e-01,4.49e-02,5.39e+00
1.70e-03,6.90e+05,1.77e-03,1.56e-03,7.01e+05,-6.47e+00,16,5.15e+00,2.38e-01,4.41e-02,5.43e+00
1.68e-03,6.74e+05,1.75e-03,1.56e-03,6.99e+05,-6.47e+00,17,5.12e+00,2.50e-01,4.92e-02,5.42e+00
1.65e-03,6.50e+05,1.72e-03,1.53e-03,6.72e+05,-6.49e+00,18,5.08e+00,2.37e-01,4.41e-02,5.36e+00
1.63e-03,6.38e+05,1.70e-03,1.51e-03,6.69e+05,-6.50e+00,19,5.15e+00,2.46e-01,4.62e-02,5.44e+00
1.61e-03,6.08e+05,1.67e-03,1.50e-03,6.47e+05,-6.51e+00,20,5.04e+00,2.38e-01,4.56e-02,5.33e+00
1.59e-03,5.91e+05,1.65e-03,1.50e-03,6.28e+05,-6.51e+00,21,5.02e+00,2.30e-01,4.33e-02,5.30e+00
1.58e-03,5.76e+05,1.63e-03,1.49e-03,6.26e+05,-6.52e+00,22,4.93e+00,2.30e-01,4.39e-02,5.20e+00
1.57e-03,5.70e+05,1.62e-03,1.51e-03,6.42e+05,-6.50e+00,23,4.91e+00,2.34e-01,3.55e-02,5.18e+00
1.55e-03,5.54e+05,1.60e-03,1.49e-03,5.86e+05,-6.52e+00,24,5.14e+00,2.58e-01,4.65e-02,5.44e+00
1.53e-03,5.38e+05,1.59e-03,1.47e-03,6.00e+05,-6.53e+00,25,5.50e+00,2.72e-01,4.55e-02,5.82e+00
1.51e-03,5.29e+05,1.56e-03,1.43e-03,5.69e+05,-6.55e+00,26,5.32e+00,2.58e-01,4.70e-02,5.63e+00
1.49e-03,5.21e+05,1.54e-03,1.41e-03,5.58e+05,-6.57e+00,27,5.44e+00,2.71e-01,4.55e-02,5.76e+00
1.47e-03,5.09e+05,1.52e-03,1.40e-03,5.38e+05,-6.58e+00,28,5.50e+00,2.58e-01,4.69e-02,5.80e+00
1.46e-03,5.05e+05,1.51e-03,1.38e-03,5.28e+05,-6.59e+00,29,5.53e+00,2.43e-01,4.70e-02,5.82e+00
1.44e-03,4.91e+05,1.49e-03,1.36e-03,4.96e+05,-6.61e+00,30,5.38e+00,2.34e-01,4.35e-02,5.66e+00
1.43e-03,4.83e+05,1.48e-03,1.34e-03,4.90e+05,-6.62e+00,31,5.14e+00,2.28e-01,4.31e-02,5.41e+00
1.41e-03,4.69e+05,1.46e-03,1.32e-03,4.90e+05,-6.63e+00,32,4.89e+00,2.43e-01,4.42e-02,5.18e+00
1.39e-03,4.56e+05,1.44e-03,1.32e-03,4.91e+05,-6.64e+00,33,4.89e+00,2.29e-01,4.35e-02,5.17e+00
1.37e-03,4.46e+05,1.42e-03,1.33e-03,4.87e+05,-6.63e+00,34,4.88e+00,2.33e-01,3.58e-02,5.15e+00
1.37e-03,4.46e+05,1.41e-03,1.32e-03,5.19e+05,-6.63e+00,35,4.89e+00,2.33e-01,3.56e-02,5.16e+00
1.36e-03,4.38e+05,1.40e-03,1.31e-03,4.88e+05,-6.64e+00,36,4.88e+00,2.34e-01,4.26e-02,5.16e+00
1.35e-03,4.29e+05,1.39e-03,1.30e-03,5.05e+05,-6.65e+00,37,4.91e+00,2.34e-01,4.30e-02,5.19e+00
1.33e-03,4.16e+05,1.37e-03,1.29e-03,4.88e+05,-6.66e+00,38,4.81e+00,2.34e-01,4.34e-02,5.09e+00
1.32e-03,4.11e+05,1.37e-03,1.30e-03,5.18e+05,-6.65e+00,39,4.87e+00,2.35e-01,3.59e-02,5.14e+00
1.31e-03,4.05e+05,1.35e-03,1.28e-03,4.97e+05,-6.67e+00,40,4.92e+00,2.31e-01,4.39e-02,5.19e+00
1.30e-03,3.99e+05,1.34e-03,1.27e-03,4.85e+05,-6.68e+00,41,4.88e+00,2.29e-01,4.30e-02,5.15e+00
1.29e-03,3.94e+05,1.33e-03,1.25e-03,4.62e+05,-6.69e+00,42,4.91e+00,2.35e-01,4.34e-02,5.19e+00
1.27e-03,3.85e+05,1.31e-03,1.25e-03,4.37e+05,-6.69e+00,43,4.87e+00,2.29e-01,4.26e-02,5.15e+00
1.26e-03,3.80e+05,1.30e-03,1.25e-03,4.14e+05,-6.69e+00,44,4.90e+00,2.38e-01,3.62e-02,5.17e+00
1.26e-03,3.72e+05,1.29e-03,1.22e-03,4.10e+05,-6.71e+00,45,4.88e+00,2.30e-01,4.65e-02,5.15e+00
1.24e-03,3.62e+05,1.28e-03,1.21e-03,3.77e+05,-6.72e+00,46,4.90e+00,2.37e-01,4.44e-02,5.18e+00
1.24e-03,3.61e+05,1.27e-03,1.18e-03,3.68e+05,-6.75e+00,47,4.89e+00,2.32e-01,4.31e-02,5.17e+00
1.22e-03,3.55e+05,1.26e-03,1.17e-03,3.46e+05,-6.76e+00,48,4.88e+00,2.26e-01,4.29e-02,5.14e+00
1.22e-03,3.53e+05,1.26e-03,1.18e-03,3.52e+05,-6.75e+00,49,4.94e+00,2.32e-01,3.52e-02,5.21e+00
1.21e-03,3.45e+05,1.24e-03,1.16e-03,3.23e+05,-6.77e+00,50,4.89e+00,2.33e-01,4.64e-02,5.17e+00
1.21e-03,3.41e+05,1.24e-03,1.13e-03,3.29e+05,-6.79e+00,51,5.03e+00,2.40e-01,4.42e-02,5.31e+00
1.20e-03,3.37e+05,1.23e-03,1.13e-03,3.20e+05,-6.79e+00,52,5.05e+00,2.36e-01,4.45e-02,5.33e+00
1.19e-03,3.30e+05,1.22e-03,1.14e-03,3.29e+05,-6.78e+00,53,5.06e+00,2.41e-01,3.65e-02,5.34e+00
1.19e-03,3.28e+05,1.22e-03,1.15e-03,3.07e+05,-6.78e+00,54,5.11e+00,2.46e-01,3.75e-02,5.39e+00
1.18e-03,3.25e+05,1.22e-03,1.14e-03,2.96e+05,-6.78e+00,55,5.10e+00,2.33e-01,3.58e-02,5.37e+00
1.17e-03,3.15e+05,1.20e-03,1.14e-03,2.97e+05,-6.78e+00,56,5.05e+00,2.41e-01,3.92e-02,5.33e+00
1.15e-03,3.06e+05,1.18e-03,1.14e-03,2.94e+05,-6.78e+00,57,5.12e+00,2.41e-01,3.69e-02,5.39e+00
1.15e-03,3.04e+05,1.18e-03,1.13e-03,2.77e+05,-6.79e+00,58,5.07e+00,2.41e-01,3.70e-02,5.35e+00
1.14e-03,2.99e+05,1.17e-03,1.13e-03,2.88e+05,-6.79e+00,59,5.08e+00,2.40e-01,3.67e-02,5.35e+00
1.14e-03,2.97e+05,1.17e-03,1.12e-03,2.85e+05,-6.80e+00,60,5.00e+00,2.29e-01,4.33e-02,5.28e+00
1.13e-03,2.91e+05,1.16e-03,1.11e-03,2.74e+05,-6.81e+00,61,4.89e+00,2.44e-01,4.35e-02,5.18e+00
1.12e-03,2.84e+05,1.15e-03,1.10e-03,2.66e+05,-6.82e+00,62,5.08e+00,2.59e-01,4.68e-02,5.38e+00
1.12e-03,2.84e+05,1.15e-03,1.10e-03,2.66e+05,-6.82e+00,63,5.14e+00,2.33e-01,3.59e-02,5.41e+00
1.11e-03,2.80e+05,1.14e-03,1.12e-03,2.64e+05,-6.80e+00,64,5.34e+00,2.31e-01,3.72e-02,5.60e+00
1.11e-03,2.75e+05,1.14e-03,1.11e-03,2.62e+05,-6.81e+00,65,5.43e+00,2.56e-01,3.67e-02,5.72e+00
1.10e-03,2.73e+05,1.13e-03,1.10e-03,2.56e+05,-6.82e+00,66,5.27e+00,2.29e-01,3.56e-02,5.53e+00
1.09e-03,2.66e+05,1.12e-03,1.09e-03,2.54e+05,-6.83e+00,67,4.93e+00,2.33e-01,4.32e-02,5.21e+00
1.09e-03,2.63e+05,1.12e-03,1.11e-03,2.65e+05,-6.81e+00,68,4.88e+00,2.29e-01,3.60e-02,5.15e+00
1.09e-03,2.60e+05,1.11e-03,1.07e-03,2.44e+05,-6.84e+00,69,4.89e+00,2.31e-01,4.28e-02,5.17e+00
1.08e-03,2.57e+05,1.10e-03,1.08e-03,2.41e+05,-6.84e+00,70,4.88e+00,2.34e-01,3.79e-02,5.15e+00
1.08e-03,2.55e+05,1.10e-03,1.07e-03,2.43e+05,-6.84e+00,71,5.18e+00,2.34e-01,6.18e-02,5.48e+00
