train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.77e-03,1.02e+06,1.87e-03,1.83e-03,9.34e+05,-6.31e+00,8,5.35e+00,2.52e-01,4.20e-02,5.64e+00
1.66e-03,8.98e+05,1.75e-03,1.77e-03,8.57e+05,-6.34e+00,9,5.47e+00,2.63e-01,4.87e-02,5.78e+00
1.59e-03,8.27e+05,1.67e-03,1.71e-03,8.07e+05,-6.38e+00,10,5.42e+00,2.57e-01,4.76e-02,5.73e+00
1.51e-03,7.76e+05,1.59e-03,1.66e-03,7.65e+05,-6.40e+00,11,5.43e+00,2.45e-01,4.50e-02,5.72e+00
1.47e-03,7.44e+05,1.54e-03,1.62e-03,7.52e+05,-6.43e+00,12,5.09e+00,2.49e-01,4.49e-02,5.38e+00
1.41e-03,7.13e+05,1.49e-03,1.57e-03,7.09e+05,-6.46e+00,13,5.34e+00,2.55e-01,4.65e-02,5.64e+00
1.37e-03,6.73e+05,1.44e-03,1.51e-03,7.01e+05,-6.50e+00,14,5.42e+00,2.57e-01,4.71e-02,5.72e+00
1.32e-03,6.42e+05,1.38e-03,1.44e-03,6.47e+05,-6.55e+00,15,5.46e+00,2.66e-01,4.70e-02,5.77e+00
1.28e-03,6.16e+05,1.34e-03,1.36e-03,6.19e+05,-6.60e+00,16,5.41e+00,2.60e-01,4.69e-02,5.71e+00
1.24e-03,5.81e+05,1.30e-03,1.32e-03,5.89e+05,-6.63e+00,17,4.72e+00,2.15e-01,4.26e-02,4.97e+00
1.21e-03,5.60e+05,1.26e-03,1.27e-03,5.87e+05,-6.67e+00,18,4.65e+00,2.29e-01,4.33e-02,4.93e+00
1.18e-03,5.33e+05,1.24e-03,1.24e-03,5.75e+05,-6.69e+00,19,5.23e+00,2.26e-01,4.48e-02,5.51e+00
1.16e-03,5.18e+05,1.21e-03,1.20e-03,5.33e+05,-6.73e+00,20,5.38e+00,2.52e-01,4.94e-02,5.68e+00
1.14e-03,5.09e+05,1.19e-03,1.15e-03,5.20e+05,-6.77e+00,21,5.41e+00,2.49e-01,4.69e-02,5.70e+00
1.13e-03,4.93e+05,1.18e-03,1.16e-03,5.36e+05,-6.76e+00,22,5.50e+00,2.51e-01,3.91e-02,5.79e+00
1.11e-03,4.78e+05,1.16e-03,1.27e-03,5.55e+05,-6.67e+00,23,5.48e+00,2.71e-01,4.05e-02,5.79e+00
1.10e-03,4.64e+05,1.14e-03,1.16e-03,5.15e+05,-6.76e+00,24,5.45e+00,2.62e-01,3.98e-02,5.76e+00
1.06e-03,4.46e+05,1.11e-03,1.12e-03,5.17e+05,-6.80e+00,25,5.45e+00,2.58e-01,4.69e-02,5.75e+00
1.05e-03,4.29e+05,1.09e-03,1.10e-03,5.03e+05,-6.81e+00,26,5.47e+00,2.55e-01,4.84e-02,5.78e+00
1.03e-03,4.21e+05,1.08e-03,1.09e-03,4.79e+05,-6.82e+00,27,5.39e+00,2.54e-01,4.70e-02,5.69e+00
1.02e-03,4.07e+05,1.06e-03,1.09e-03,4.72e+05,-6.83e+00,28,5.31e+00,2.58e-01,4.67e-02,5.62e+00
9.99e-04,3.94e+05,1.04e-03,1.06e-03,4.57e+05,-6.85e+00,29,5.37e+00,2.51e-01,4.77e-02,5.67e+00
9.87e-04,3.82e+05,1.02e-03,1.07e-03,4.46e+05,-6.85e+00,30,5.37e+00,2.55e-01,4.06e-02,5.67e+00
9.74e-04,3.76e+05,1.01e-03,1.04e-03,4.23e+05,-6.87e+00,31,5.35e+00,2.49e-01,4.57e-02,5.64e+00
9.78e-04,3.70e+05,1.02e-03,1.06e-03,4.26e+05,-6.85e+00,32,5.40e+00,2.50e-01,4.03e-02,5.69e+00
9.56e-04,3.57e+05,9.91e-04,1.00e-03,3.80e+05,-6.91e+00,33,5.41e+00,2.43e-01,4.64e-02,5.70e+00
9.41e-04,3.47e+05,9.76e-04,9.76e-04,3.78e+05,-6.94e+00,34,5.50e+00,2.79e-01,4.93e-02,5.83e+00
9.29e-04,3.35e+05,9.63e-04,9.60e-04,3.60e+05,-6.95e+00,35,5.24e+00,2.37e-01,4.52e-02,5.52e+00
9.21e-04,3.29e+05,9.54e-04,9.64e-04,3.65e+05,-6.95e+00,36,5.03e+00,2.35e-01,3.74e-02,5.30e+00
9.12e-04,3.23e+05,9.44e-04,9.61e-04,3.52e+05,-6.95e+00,37,5.05e+00,2.53e-01,3.97e-02,5.34e+00
9.10e-04,3.22e+05,9.42e-04,9.32e-04,3.43e+05,-6.98e+00,38,5.44e+00,2.56e-01,4.68e-02,5.75e+00
9.01e-04,3.12e+05,9.33e-04,9.29e-04,3.44e+05,-6.98e+00,39,5.40e+00,2.61e-01,4.82e-02,5.71e+00
8.88e-04,3.05e+05,9.18e-04,9.14e-04,3.40e+05,-7.00e+00,40,5.85e+00,2.38e-01,2.46e-01,6.33e+00
8.76e-04,2.97e+05,9.06e-04,8.96e-04,3.37e+05,-7.02e+00,41,5.30e+00,2.13e-01,4.17e-02,5.56e+00
8.70e-04,2.93e+05,9.00e-04,9.00e-04,3.33e+05,-7.02e+00,42,8.05e+00,2.54e-01,6.87e-02,8.37e+00
8.57e-04,2.87e+05,8.85e-04,8.83e-04,3.24e+05,-7.03e+00,43,5.30e+00,2.60e-01,4.85e-02,5.61e+00
8.53e-04,2.84e+05,8.81e-04,8.76e-04,3.19e+05,-7.04e+00,44,5.33e+00,2.12e-01,4.23e-02,5.58e+00
8.43e-04,2.77e+05,8.71e-04,8.63e-04,3.15e+05,-7.06e+00,45,4.63e+00,2.16e-01,4.18e-02,4.89e+00
8.39e-04,2.74e+05,8.66e-04,8.46e-04,3.14e+05,-7.08e+00,46,4.92e+00,2.53e-01,4.79e-02,5.22e+00
8.32e-04,2.69e+05,8.59e-04,8.31e-04,2.91e+05,-7.10e+00,47,5.32e+00,2.39e-01,4.47e-02,5.60e+00
8.23e-04,2.62e+05,8.49e-04,8.26e-04,2.91e+05,-7.10e+00,48,5.33e+00,2.70e-01,4.79e-02,5.65e+00
8.15e-04,2.58e+05,8.41e-04,8.09e-04,2.80e+05,-7.12e+00,49,6.23e+00,2.51e-01,5.60e-02,6.54e+00
8.09e-04,2.55e+05,8.34e-04,8.06e-04,2.83e+05,-7.13e+00,50,5.39e+00,2.61e-01,4.85e-02,5.70e+00
8.04e-04,2.51e+05,8.29e-04,8.00e-04,2.70e+05,-7.13e+00,51,5.45e+00,2.56e-01,4.74e-02,5.75e+00
7.97e-04,2.48e+05,8.22e-04,7.88e-04,2.67e+05,-7.15e+00,52,5.38e+00,2.56e-01,4.83e-02,5.69e+00
7.94e-04,2.44e+05,8.18e-04,7.79e-04,2.64e+05,-7.16e+00,53,5.42e+00,2.60e-01,4.78e-02,5.73e+00
7.83e-04,2.40e+05,8.07e-04,7.86e-04,2.56e+05,-7.15e+00,54,5.45e+00,2.62e-01,4.18e-02,5.75e+00
7.82e-04,2.38e+05,8.06e-04,7.67e-04,2.55e+05,-7.18e+00,55,5.40e+00,2.61e-01,4.61e-02,5.71e+00
