train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.94e-03,1.05e+06,2.04e-03,1.88e-03,9.15e+05,-6.28e+00,8,4.96e+00,2.34e-01,3.97e-02,5.23e+00
1.86e-03,9.01e+05,1.95e-03,1.81e-03,8.30e+05,-6.32e+00,9,4.85e+00,2.29e-01,4.36e-02,5.13e+00
1.79e-03,8.25e+05,1.87e-03,1.79e-03,8.11e+05,-6.33e+00,10,4.82e+00,2.27e-01,4.37e-02,5.09e+00
1.73e-03,7.79e+05,1.81e-03,1.77e-03,8.14e+05,-6.34e+00,11,4.99e+00,2.34e-01,4.40e-02,5.26e+00
1.68e-03,7.31e+05,1.75e-03,1.72e-03,7.80e+05,-6.37e+00,12,5.05e+00,2.32e-01,4.47e-02,5.32e+00
1.64e-03,6.97e+05,1.71e-03,1.72e-03,7.33e+05,-6.37e+00,13,4.95e+00,2.46e-01,3.82e-02,5.24e+00
1.60e-03,6.68e+05,1.67e-03,1.71e-03,7.68e+05,-6.38e+00,14,5.06e+00,2.38e-01,4.46e-02,5.34e+00
1.57e-03,6.62e+05,1.63e-03,1.72e-03,7.70e+05,-6.37e+00,15,5.04e+00,2.36e-01,3.71e-02,5.31e+00
1.53e-03,6.33e+05,1.59e-03,1.69e-03,7.22e+05,-6.39e+00,16,4.85e+00,2.29e-01,4.28e-02,5.12e+00
1.49e-03,6.17e+05,1.55e-03,1.64e-03,7.00e+05,-6.41e+00,17,4.79e+00,2.35e-01,4.47e-02,5.07e+00
1.44e-03,5.99e+05,1.50e-03,1.63e-03,7.32e+05,-6.42e+00,18,4.82e+00,2.31e-01,4.37e-02,5.10e+00
1.42e-03,5.85e+05,1.48e-03,1.63e-03,7.62e+05,-6.42e+00,19,4.79e+00,2.24e-01,3.84e-02,5.06e+00
1.38e-03,5.69e+05,1.44e-03,1.52e-03,7.32e+05,-6.49e+00,20,4.81e+00,2.23e-01,4.30e-02,5.08e+00
1.36e-03,5.51e+05,1.42e-03,1.51e-03,7.49e+05,-6.50e+00,21,4.81e+00,2.30e-01,4.32e-02,5.08e+00
1.31e-03,5.31e+05,1.36e-03,1.45e-03,6.94e+05,-6.54e+00,22,4.79e+00,2.30e-01,4.32e-02,5.06e+00
1.28e-03,5.12e+05,1.33e-03,1.43e-03,6.68e+05,-6.55e+00,23,4.79e+00,2.33e-01,4.28e-02,5.06e+00
1.25e-03,4.92e+05,1.29e-03,1.39e-03,6.10e+05,-6.58e+00,24,4.78e+00,2.24e-01,4.23e-02,5.04e+00
1.22e-03,4.75e+05,1.27e-03,1.38e-03,5.71e+05,-6.59e+00,25,4.78e+00,2.37e-01,4.34e-02,5.06e+00
1.19e-03,4.62e+05,1.24e-03,1.37e-03,5.33e+05,-6.60e+00,26,4.79e+00,2.30e-01,4.28e-02,5.06e+00
1.17e-03,4.51e+05,1.21e-03,1.33e-03,5.35e+05,-6.62e+00,27,4.77e+00,2.23e-01,4.30e-02,5.04e+00
1.16e-03,4.37e+05,1.20e-03,1.36e-03,5.07e+05,-6.61e+00,28,4.75e+00,2.29e-01,3.51e-02,5.01e+00
1.13e-03,4.25e+05,1.17e-03,1.29e-03,4.81e+05,-6.65e+00,29,4.76e+00,2.22e-01,4.31e-02,5.02e+00
1.10e-03,4.09e+05,1.14e-03,1.27e-03,4.69e+05,-6.67e+00,30,4.77e+00,2.27e-01,4.60e-02,5.04e+00
1.08e-03,4.01e+05,1.12e-03,1.27e-03,4.67e+05,-6.67e+00,31,4.79e+00,2.31e-01,3.54e-02,5.05e+00
1.07e-03,3.90e+05,1.11e-03,1.25e-03,4.68e+05,-6.68e+00,32,4.77e+00,2.23e-01,4.28e-02,5.03e+00
1.05e-03,3.81e+05,1.09e-03,1.26e-03,4.33e+05,-6.68e+00,33,4.77e+00,2.24e-01,3.53e-02,5.03e+00
1.04e-03,3.74e+05,1.07e-03,1.21e-03,4.24e+05,-6.72e+00,34,4.79e+00,2.27e-01,4.28e-02,5.06e+00
1.02e-03,3.65e+05,1.06e-03,1.15e-03,3.95e+05,-6.77e+00,35,4.77e+00,2.26e-01,4.29e-02,5.04e+00
1.01e-03,3.57e+05,1.05e-03,1.17e-03,4.16e+05,-6.75e+00,36,4.79e+00,2.23e-01,3.95e-02,5.05e+00
