train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.71e-03,8.95e+05,1.80e-03,1.72e-03,9.24e+05,-6.37e+00,8,4.89e+00,2.34e-01,3.85e-02,5.16e+00
1.65e-03,7.96e+05,1.73e-03,1.69e-03,9.67e+05,-6.39e+00,9,4.87e+00,2.25e-01,4.31e-02,5.14e+00
1.61e-03,7.59e+05,1.69e-03,1.67e-03,9.39e+05,-6.40e+00,10,4.89e+00,2.31e-01,4.39e-02,5.16e+00
1.57e-03,7.20e+05,1.64e-03,1.60e-03,9.12e+05,-6.44e+00,11,4.98e+00,2.33e-01,4.26e-02,5.25e+00
1.53e-03,6.89e+05,1.60e-03,1.56e-03,8.99e+05,-6.47e+00,12,4.93e+00,2.44e-01,4.45e-02,5.22e+00
1.50e-03,6.73e+05,1.57e-03,1.55e-03,9.40e+05,-6.47e+00,13,5.10e+00,2.43e-01,4.43e-02,5.39e+00
1.47e-03,6.43e+05,1.54e-03,1.50e-03,9.04e+05,-6.51e+00,14,5.05e+00,2.41e-01,4.55e-02,5.34e+00
1.44e-03,6.11e+05,1.50e-03,1.53e-03,8.70e+05,-6.49e+00,15,5.10e+00,2.41e-01,3.69e-02,5.37e+00
1.41e-03,5.82e+05,1.46e-03,1.55e-03,8.99e+05,-6.47e+00,16,5.04e+00,2.37e-01,3.54e-02,5.31e+00
1.38e-03,5.61e+05,1.44e-03,1.57e-03,9.08e+05,-6.46e+00,17,5.01e+00,2.36e-01,3.61e-02,5.28e+00
1.35e-03,5.49e+05,1.41e-03,1.55e-03,8.71e+05,-6.47e+00,18,5.06e+00,2.43e-01,3.72e-02,5.34e+00
1.33e-03,5.31e+05,1.38e-03,1.49e-03,7.73e+05,-6.51e+00,19,5.11e+00,2.44e-01,4.41e-02,5.40e+00
1.30e-03,5.18e+05,1.35e-03,1.47e-03,7.48e+05,-6.52e+00,20,5.07e+00,2.38e-01,4.47e-02,5.35e+00
1.27e-03,5.01e+05,1.32e-03,1.47e-03,6.69e+05,-6.52e+00,21,5.05e+00,2.35e-01,4.35e-02,5.32e+00
1.24e-03,4.79e+05,1.29e-03,1.43e-03,6.02e+05,-6.55e+00,22,5.03e+00,2.35e-01,4.78e-02,5.32e+00
1.21e-03,4.63e+05,1.26e-03,1.40e-03,5.59e+05,-6.58e+00,23,4.89e+00,2.60e-01,4.60e-02,5.20e+00
1.19e-03,4.52e+05,1.24e-03,1.35e-03,5.30e+05,-6.61e+00,24,5.19e+00,2.47e-01,4.49e-02,5.48e+00
1.16e-03,4.39e+05,1.21e-03,1.26e-03,5.11e+05,-6.68e+00,25,5.10e+00,2.43e-01,4.60e-02,5.39e+00
1.14e-03,4.31e+05,1.19e-03,1.27e-03,4.74e+05,-6.67e+00,26,4.94e+00,2.34e-01,3.62e-02,5.21e+00
1.12e-03,4.26e+05,1.16e-03,1.22e-03,4.36e+05,-6.71e+00,27,5.03e+00,2.31e-01,4.28e-02,5.31e+00
1.10e-03,4.13e+05,1.15e-03,1.21e-03,4.36e+05,-6.72e+00,28,5.10e+00,2.82e-01,5.01e-02,5.43e+00
1.09e-03,4.05e+05,1.13e-03,1.15e-03,4.08e+05,-6.77e+00,29,5.02e+00,2.35e-01,4.55e-02,5.30e+00
1.07e-03,3.99e+05,1.11e-03,1.12e-03,3.89e+05,-6.80e+00,30,4.91e+00,2.31e-01,4.37e-02,5.19e+00
1.05e-03,3.94e+05,1.09e-03,1.08e-03,3.73e+05,-6.83e+00,31,4.88e+00,2.32e-01,4.38e-02,5.16e+00
1.04e-03,3.81e+05,1.07e-03,1.07e-03,3.54e+05,-6.84e+00,32,4.88e+00,2.27e-01,4.27e-02,5.15e+00
