train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
2.00e-03,1.28e+06,2.13e-03,1.94e-03,1.15e+06,-6.26e+00,8,3.06e+00,1.50e-01,2.73e-02,3.24e+00
1.90e-03,1.12e+06,2.01e-03,1.92e-03,1.06e+06,-6.26e+00,9,3.06e+00,1.49e-01,3.11e-02,3.24e+00
1.82e-03,1.01e+06,1.92e-03,1.90e-03,1.04e+06,-6.27e+00,10,3.05e+00,1.51e-01,3.16e-02,3.24e+00
1.75e-03,9.22e+05,1.84e-03,1.88e-03,1.04e+06,-6.29e+00,11,3.06e+00,1.49e-01,1.21e-01,3.33e+00
1.69e-03,8.77e+05,1.78e-03,1.86e-03,9.84e+05,-6.29e+00,12,3.07e+00,1.50e-01,3.09e-02,3.25e+00
1.65e-03,8.32e+05,1.73e-03,1.82e-03,9.56e+05,-6.31e+00,13,3.06e+00,1.50e-01,5.83e-02,3.27e+00
1.60e-03,7.94e+05,1.68e-03,1.86e-03,1.02e+06,-6.29e+00,14,3.06e+00,1.50e-01,1.05e-01,3.32e+00
1.55e-03,7.71e+05,1.63e-03,1.78e-03,9.56e+05,-6.34e+00,15,3.12e+00,1.49e-01,1.20e-01,3.39e+00
1.49e-03,7.45e+05,1.56e-03,1.68e-03,9.06e+05,-6.39e+00,16,3.08e+00,1.51e-01,3.09e-02,3.26e+00
1.42e-03,7.06e+05,1.49e-03,1.58e-03,8.45e+05,-6.45e+00,17,3.11e+00,1.50e-01,1.20e-01,3.38e+00
1.36e-03,6.69e+05,1.43e-03,1.53e-03,7.77e+05,-6.48e+00,18,3.25e+00,1.57e-01,3.92e-02,3.45e+00
1.31e-03,6.35e+05,1.37e-03,1.46e-03,7.18e+05,-6.53e+00,19,3.06e+00,1.49e-01,1.20e-01,3.32e+00
1.27e-03,5.96e+05,1.33e-03,1.35e-03,6.48e+05,-6.61e+00,20,3.07e+00,1.50e-01,1.17e-01,3.33e+00
1.22e-03,5.74e+05,1.28e-03,1.34e-03,6.43e+05,-6.62e+00,21,3.06e+00,1.50e-01,1.20e-01,3.33e+00
