train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.90e-03,1.06e+06,2.01e-03,1.83e-03,9.25e+05,-6.31e+00,8,3.07e+00,1.51e-01,2.69e-02,3.25e+00
1.82e-03,9.02e+05,1.91e-03,1.78e-03,8.30e+05,-6.34e+00,9,3.07e+00,1.51e-01,3.07e-02,3.25e+00
1.75e-03,8.31e+05,1.83e-03,1.74e-03,8.00e+05,-6.36e+00,10,3.07e+00,1.49e-01,3.15e-02,3.25e+00
1.69e-03,7.73e+05,1.77e-03,1.72e-03,8.19e+05,-6.37e+00,11,3.06e+00,1.51e-01,1.15e-01,3.33e+00
1.65e-03,7.31e+05,1.72e-03,1.70e-03,7.59e+05,-6.39e+00,12,3.06e+00,1.49e-01,3.08e-02,3.24e+00
1.60e-03,7.00e+05,1.67e-03,1.66e-03,7.57e+05,-6.41e+00,13,3.07e+00,1.50e-01,3.07e-02,3.25e+00
1.56e-03,6.71e+05,1.63e-03,1.65e-03,7.78e+05,-6.41e+00,14,3.08e+00,1.50e-01,1.20e-01,3.35e+00
1.52e-03,6.75e+05,1.59e-03,1.69e-03,8.08e+05,-6.39e+00,15,3.07e+00,1.51e-01,1.07e-01,3.33e+00
1.47e-03,6.38e+05,1.54e-03,1.61e-03,7.57e+05,-6.44e+00,16,3.07e+00,1.50e-01,1.15e-01,3.34e+00
1.42e-03,6.13e+05,1.48e-03,1.64e-03,7.79e+05,-6.41e+00,17,3.07e+00,1.49e-01,1.08e-01,3.32e+00
1.39e-03,6.03e+05,1.45e-03,1.61e-03,7.81e+05,-6.43e+00,18,3.07e+00,1.50e-01,5.81e-02,3.28e+00
1.37e-03,5.79e+05,1.42e-03,1.64e-03,7.86e+05,-6.42e+00,19,3.08e+00,1.54e-01,1.08e-01,3.34e+00
1.33e-03,5.64e+05,1.39e-03,1.55e-03,6.93e+05,-6.47e+00,20,3.11e+00,1.56e-01,3.18e-02,3.30e+00
1.30e-03,5.36e+05,1.35e-03,1.53e-03,6.67e+05,-6.49e+00,21,3.15e+00,1.48e-01,1.24e-01,3.42e+00
1.27e-03,5.29e+05,1.33e-03,1.53e-03,6.66e+05,-6.49e+00,22,3.07e+00,1.49e-01,1.20e-01,3.34e+00
1.26e-03,5.16e+05,1.31e-03,1.50e-03,6.86e+05,-6.50e+00,23,3.05e+00,1.47e-01,1.20e-01,3.32e+00
1.25e-03,5.06e+05,1.30e-03,1.43e-03,6.16e+05,-6.55e+00,24,3.05e+00,1.50e-01,3.15e-02,3.23e+00
1.22e-03,4.91e+05,1.27e-03,1.38e-03,6.01e+05,-6.59e+00,25,3.05e+00,1.49e-01,1.14e-01,3.31e+00
1.20e-03,4.80e+05,1.25e-03,1.37e-03,5.63e+05,-6.60e+00,26,3.04e+00,1.50e-01,1.14e-01,3.31e+00
1.20e-03,4.78e+05,1.24e-03,1.37e-03,5.65e+05,-6.60e+00,27,3.04e+00,1.49e-01,1.15e-01,3.31e+00
1.18e-03,4.61e+05,1.22e-03,1.26e-03,5.27e+05,-6.68e+00,28,3.05e+00,1.49e-01,1.14e-01,3.32e+00
1.16e-03,4.50e+05,1.20e-03,1.19e-03,5.24e+05,-6.73e+00,29,3.05e+00,1.51e-01,4.25e-02,3.24e+00
1.13e-03,4.33e+05,1.17e-03,1.16e-03,5.09e+05,-6.76e+00,30,3.05e+00,1.49e-01,1.21e-01,3.32e+00
1.11e-03,4.23e+05,1.15e-03,1.15e-03,5.19e+05,-6.77e+00,31,3.06e+00,1.50e-01,1.14e-01,3.32e+00
