train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.64e-03,8.50e+05,1.73e-03,1.69e-03,7.89e+05,-6.39e+00,8,5.44e+00,2.58e-01,4.18e-02,5.74e+00
1.57e-03,7.33e+05,1.64e-03,1.58e-03,7.28e+05,-6.45e+00,9,5.42e+00,2.61e-01,4.75e-02,5.72e+00
1.51e-03,6.74e+05,1.57e-03,1.52e-03,6.54e+05,-6.49e+00,10,5.46e+00,2.50e-01,4.76e-02,5.75e+00
1.46e-03,6.24e+05,1.52e-03,1.48e-03,6.08e+05,-6.52e+00,11,5.47e+00,2.61e-01,5.00e-02,5.78e+00
1.42e-03,5.92e+05,1.48e-03,1.44e-03,5.71e+05,-6.55e+00,12,5.46e+00,2.63e-01,4.72e-02,5.77e+00
1.38e-03,5.65e+05,1.44e-03,1.40e-03,5.60e+05,-6.58e+00,13,5.55e+00,2.44e-01,4.70e-02,5.84e+00
1.35e-03,5.43e+05,1.41e-03,1.37e-03,5.33e+05,-6.60e+00,14,5.45e+00,2.54e-01,4.67e-02,5.75e+00
1.32e-03,5.20e+05,1.37e-03,1.34e-03,5.30e+05,-6.62e+00,15,6.63e+00,2.66e-01,1.48e-01,7.04e+00
1.30e-03,5.03e+05,1.35e-03,1.36e-03,4.97e+05,-6.61e+00,16,5.43e+00,2.69e-01,4.41e-02,5.75e+00
1.28e-03,4.87e+05,1.33e-03,1.33e-03,4.82e+05,-6.63e+00,17,5.53e+00,2.55e-01,4.34e-02,5.83e+00
1.27e-03,4.76e+05,1.31e-03,1.31e-03,4.66e+05,-6.64e+00,18,5.51e+00,2.56e-01,4.99e-02,5.82e+00
1.25e-03,4.66e+05,1.30e-03,1.26e-03,4.30e+05,-6.68e+00,19,5.08e+00,2.29e-01,4.28e-02,5.35e+00
1.24e-03,4.54e+05,1.28e-03,1.22e-03,4.06e+05,-6.71e+00,20,5.19e+00,2.34e-01,1.51e-01,5.58e+00
1.22e-03,4.41e+05,1.26e-03,1.18e-03,3.93e+05,-6.75e+00,21,4.80e+00,2.22e-01,4.29e-02,5.06e+00
1.20e-03,4.33e+05,1.24e-03,1.14e-03,3.79e+05,-6.78e+00,22,4.78e+00,2.29e-01,4.31e-02,5.06e+00
1.17e-03,4.18e+05,1.21e-03,1.11e-03,3.88e+05,-6.81e+00,23,4.80e+00,2.31e-01,4.66e-02,5.07e+00
1.15e-03,4.10e+05,1.19e-03,1.12e-03,3.86e+05,-6.80e+00,24,4.82e+00,2.31e-01,3.58e-02,5.08e+00
1.13e-03,3.99e+05,1.17e-03,1.10e-03,3.81e+05,-6.82e+00,25,4.80e+00,2.35e-01,4.42e-02,5.08e+00
1.11e-03,3.91e+05,1.15e-03,1.09e-03,3.73e+05,-6.82e+00,26,5.47e+00,2.38e-01,4.69e-02,5.75e+00
1.09e-03,3.81e+05,1.13e-03,1.05e-03,3.63e+05,-6.86e+00,27,4.77e+00,2.29e-01,4.31e-02,5.05e+00
1.08e-03,3.75e+05,1.12e-03,1.04e-03,3.55e+05,-6.87e+00,28,4.81e+00,2.23e-01,4.29e-02,5.08e+00
1.07e-03,3.64e+05,1.10e-03,1.01e-03,3.53e+05,-6.90e+00,29,4.79e+00,2.26e-01,4.28e-02,5.06e+00
1.05e-03,3.58e+05,1.08e-03,1.00e-03,3.40e+05,-6.91e+00,30,4.90e+00,2.31e-01,4.64e-02,5.17e+00
1.03e-03,3.55e+05,1.07e-03,9.80e-04,3.48e+05,-6.93e+00,31,4.82e+00,2.29e-01,4.31e-02,5.09e+00
1.01e-03,3.46e+05,1.05e-03,9.68e-04,3.30e+05,-6.94e+00,32,4.79e+00,2.32e-01,4.32e-02,5.06e+00
1.00e-03,3.41e+05,1.04e-03,9.55e-04,3.17e+05,-6.96e+00,33,4.81e+00,2.30e-01,4.29e-02,5.09e+00
9.87e-04,3.33e+05,1.02e-03,9.67e-04,3.10e+05,-6.94e+00,34,4.79e+00,2.27e-01,3.58e-02,5.05e+00
9.70e-04,3.24e+05,1.00e-03,9.70e-04,3.14e+05,-6.94e+00,35,4.79e+00,2.21e-01,3.56e-02,5.04e+00
9.57e-04,3.20e+05,9.89e-04,9.46e-04,2.95e+05,-6.97e+00,36,4.81e+00,2.29e-01,4.27e-02,5.08e+00
9.44e-04,3.11e+05,9.75e-04,9.57e-04,3.00e+05,-6.95e+00,37,4.79e+00,2.32e-01,3.64e-02,5.06e+00
