var,dataset,mean,std
2,test_trans,2.2263522148132324,0.025151507504127334
2,train_both,1.2035707235336304,0.02980080653305189
3,test_trans,2.7033135414123537,0.2024349390175337
3,train_both,1.1366631746292115,0.034164792158720494
4,test_trans,2.0197962284088136,0.04633208841429199
4,train_both,1.1298512458801269,0.09097209497276758
5,test_trans,1.9238790035247804,0.02627687036655457
5,train_both,1.152174949645996,0.03271264623219932
6,test_trans,1.9098683595657349,0.018831237780627178
6,train_both,1.2165452480316161,0.01256196623730328
7,test_trans,1.7718297481536864,0.013804102127657347
7,train_both,1.0202355861663819,0.015018477214028632
8,test_trans,1.958783793449402,0.07481963729662938
8,train_both,1.0700506448745728,0.06437386703561603
9,test_trans,1.7719768047332765,0.03983497052615959
9,train_both,1.018754482269287,0.03532818434532835
10,test_trans,1.680204486846924,0.021389552916533515
10,train_both,0.9770944118499756,0.023406138295889327
11,test_trans,1.679958987236023,0.043696404015359805
11,train_both,0.9699462652206421,0.043562598712675656
12,test_trans,1.6767488241195678,0.024446324492300456
12,train_both,0.9732623338699341,0.019857767693095323
13,test_trans,1.9644187211990356,0.21544782824010522
13,train_both,1.191234290599823,0.22207427203587027
14,test_trans,1.6811656475067138,0.027847391447990425
14,train_both,0.9642794132232666,0.03205319259487381
15,test_trans,1.63742356300354,0.06999945879661418
15,train_both,0.969155740737915,0.08946932779497273
16,test_trans,1.702302670478821,0.05629093199856419
16,train_both,1.0155586004257202,0.05975345933702139
