var,dataset,bond_type,mean,std
2,Test Transition,C-N,0.16125397075394574,0.025084884771510788
2,Test Transition,CA-C,0.15398163726741707,0.022130437987156425
2,Test Transition,CA-CB,0.1570291571453793,0.020973180606280367
2,Test Transition,N-CA,0.14911989876468404,0.020536165119753497
2,Train Both,C-N,0.14391117964030783,0.027100106857345586
2,Train Both,CA-C,0.13694377674750932,0.022679620657877653
2,Train Both,CA-CB,0.13839459786000927,0.024041054876504774
2,Train Both,N-CA,0.13235284818057774,0.022967352564912846
3,Test Transition,C-N,0.12257392054999836,0.019783029917023055
3,Test Transition,CA-C,0.12118894242173064,0.0197428472431096
3,Test Transition,CA-CB,0.12026907497446435,0.02198467674851551
3,Test Transition,N-CA,0.11339077602754377,0.020894338139169102
3,Train Both,C-N,0.1141367004211082,0.01271533023677276
3,Train Both,CA-C,0.11223873512155842,0.012726861486263123
3,Train Both,CA-CB,0.11204436076131392,0.015084097919399941
3,Train Both,N-CA,0.1048417440948441,0.013955384897328369
4,Test Transition,C-N,0.15146365573649495,0.03562184599546849
4,Test Transition,CA-C,0.1483129137433273,0.03529240128566699
4,Test Transition,CA-CB,0.14574257977856253,0.04245717270427005
4,Test Transition,N-CA,0.1430458152171744,0.038032290076542574
4,Train Both,C-N,0.13016424401811436,0.0329389621639842
4,Train Both,CA-C,0.12626677860175553,0.03179462837279863
4,Train Both,CA-CB,0.1263984802072395,0.039498188966809226
4,Train Both,N-CA,0.12220364327971707,0.034863493278059675
5,Test Transition,C-N,0.16587724613241947,0.018010681669503877
5,Test Transition,CA-C,0.16452358833469397,0.015315425073283212
5,Test Transition,CA-CB,0.16123958579737635,0.01562101650315392
5,Test Transition,N-CA,0.1541898968264634,0.009467284069234133
5,Train Both,C-N,0.1388107268515743,0.017240248078641163
5,Train Both,CA-C,0.13643953763017141,0.01715185889248392
5,Train Both,CA-CB,0.13502707703073907,0.01572384650059869
5,Train Both,N-CA,0.12793560153103564,0.01057394434981251
6,Test Transition,C-N,0.19121985957120574,0.01260299503690387
6,Test Transition,CA-C,0.18155723917184197,0.010343341210598253
6,Test Transition,CA-CB,0.1864859542378944,0.0052042440016656115
6,Test Transition,N-CA,0.1771081709533043,0.01312974922814566
6,Train Both,C-N,0.17904014384108627,0.012989064879839867
6,Train Both,CA-C,0.1686498323400195,0.010740127157999288
6,Train Both,CA-CB,0.17160571683478393,0.005439943253132559
6,Train Both,N-CA,0.16333625399268467,0.012634194903536296
7,Test Transition,C-N,0.13571607293588012,0.00711759856565458
7,Test Transition,CA-C,0.13128797037470272,0.0028024238619442105
7,Test Transition,CA-CB,0.12732321266092297,0.005115319167285715
7,Test Transition,N-CA,0.12120272464945794,0.0031514727646106758
7,Train Both,C-N,0.10820029262901557,0.010014840110355928
7,Train Both,CA-C,0.1006795112082611,0.00494995536279086
7,Train Both,CA-CB,0.09788717280918033,0.005710809774604347
7,Train Both,N-CA,0.09271449015120592,0.0068618269366404775
8,Test Transition,C-N,0.1439376568413135,0.0226796521066656
8,Test Transition,CA-C,0.1438605242142586,0.02228777708516346
8,Test Transition,CA-CB,0.1368839072408495,0.0254599503921743
8,Test Transition,N-CA,0.1312764793362307,0.021894686644651683
8,Train Both,C-N,0.11777471651816103,0.02473757370807703
8,Train Both,CA-C,0.12015092505943073,0.02363559412453747
8,Train Both,CA-CB,0.113057598136783,0.02486797946607419
8,Train Both,N-CA,0.11056956910098108,0.022968501840679334
9,Test Transition,C-N,0.1402561861754442,0.007683008929554594
9,Test Transition,CA-C,0.1374794850640843,0.01080353761848744
9,Test Transition,CA-CB,0.14042660385937958,0.013938592276566589
9,Test Transition,N-CA,0.1335973462822295,0.010307666488855598
9,Train Both,C-N,0.11316381682363644,0.009125960515571305
9,Train Both,CA-C,0.11113306377585852,0.010305666218985826
9,Train Both,CA-CB,0.11668666458221648,0.014969176262316001
9,Train Both,N-CA,0.10912190162130275,0.01142933182636278
10,Test Transition,C-N,0.13040734944685142,0.006788493613511829
10,Test Transition,CA-C,0.1264736919205431,0.008060154057691248
10,Test Transition,CA-CB,0.12641160427116366,0.006564526039558038
10,Test Transition,N-CA,0.11750756395022328,0.006317136845753195
10,Train Both,C-N,0.10951568524130884,0.006550925220652175
10,Train Both,CA-C,0.10587650184357453,0.007130450179941909
10,Train Both,CA-CB,0.10159672142954015,0.005712653691631357
10,Train Both,N-CA,0.09473655420280311,0.004838524817654612
11,Test Transition,C-N,0.12473148138189169,0.017916854624854355
11,Test Transition,CA-C,0.1261482408689399,0.02094361385104464
11,Test Transition,CA-CB,0.12521267002556816,0.016470971111547765
11,Test Transition,N-CA,0.12222273911457107,0.016408314148519933
11,Train Both,C-N,0.10304483998588447,0.017204757849447326
11,Train Both,CA-C,0.10343552183331069,0.02007398158988247
11,Train Both,CA-CB,0.10493358263395361,0.016436858034265624
11,Train Both,N-CA,0.10128110026665871,0.01638598655451125
12,Test Transition,C-N,0.10201915812510746,0.028975718752783847
12,Test Transition,CA-C,0.10065152324739524,0.029094389855545754
12,Test Transition,CA-CB,0.09754899399839251,0.028462196611145407
12,Test Transition,N-CA,0.09385606196581323,0.02703460808939614
12,Train Both,C-N,0.08444288036831303,0.023055052506710305
12,Train Both,CA-C,0.0825966872787213,0.022583031809921595
12,Train Both,CA-CB,0.080901472319971,0.020996195019415954
12,Train Both,N-CA,0.07662221984792775,0.02069512563356001
13,Test Transition,C-N,0.21743800876369068,0.08643672904750702
13,Test Transition,CA-C,0.2094853804575795,0.08555597525959296
13,Test Transition,CA-CB,0.21588298523723867,0.08927805026389929
13,Test Transition,N-CA,0.20404951485485695,0.08687454603414446
13,Train Both,C-N,0.19132274491432893,0.08541337425791272
13,Train Both,CA-C,0.1877733279721319,0.08599037993626789
13,Train Both,CA-CB,0.19452699118066735,0.08959871097470835
13,Train Both,N-CA,0.18479217911149606,0.08586908332784428
14,Test Transition,C-N,0.13035522477681874,0.007112007722052803
14,Test Transition,CA-C,0.1259432707000183,0.010044291846372044
14,Test Transition,CA-CB,0.11872161897422592,0.014015313333147825
14,Test Transition,N-CA,0.11532489189314614,0.011714018556383552
14,Train Both,C-N,0.11095859371910188,0.009412797359476564
14,Train Both,CA-C,0.10611636723481566,0.009438275689760727
14,Train Both,CA-CB,0.09982636759004249,0.011884949622108893
14,Train Both,N-CA,0.09647133728971476,0.011127135667958024
15,Test Transition,C-N,0.1440800582416977,0.03297972453888599
15,Test Transition,CA-C,0.13933007096838593,0.03415707092279342
15,Test Transition,CA-CB,0.1334670560971191,0.026672288968112107
15,Test Transition,N-CA,0.12689003178005281,0.02580317423848256
15,Train Both,C-N,0.11954444121620496,0.03252917444673662
15,Train Both,CA-C,0.11495793532890533,0.03604379550305706
15,Train Both,CA-CB,0.10866655883356482,0.02721994145627363
15,Train Both,N-CA,0.10423808075207405,0.027603575020104066
16,Test Transition,C-N,0.14699413001564227,0.025393043263499848
16,Test Transition,CA-C,0.14377472467540328,0.023001743483843384
16,Test Transition,CA-CB,0.14304391575752,0.02329720745551023
16,Test Transition,N-CA,0.13650387816913895,0.023780083127917344
16,Train Both,C-N,0.12773311466346535,0.02427145383748291
16,Train Both,CA-C,0.1233376754368845,0.02197055387958148
16,Train Both,CA-CB,0.1219782399852964,0.019478109003801536
16,Train Both,N-CA,0.11657112577196634,0.021427198142661613
