train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.74e-03,1.07e+06,1.84e-03,1.74e-03,9.76e+05,-6.36e+00,8,4.84e+00,2.27e-01,3.75e-02,5.11e+00
1.64e-03,9.41e+05,1.73e-03,1.65e-03,9.29e+05,-6.41e+00,9,4.83e+00,2.27e-01,4.23e-02,5.10e+00
1.56e-03,8.69e+05,1.65e-03,1.64e-03,9.47e+05,-6.42e+00,10,4.90e+00,2.35e-01,4.43e-02,5.18e+00
1.50e-03,8.36e+05,1.59e-03,1.55e-03,9.36e+05,-6.48e+00,11,4.88e+00,2.23e-01,4.66e-02,5.15e+00
1.45e-03,7.92e+05,1.53e-03,1.52e-03,8.80e+05,-6.50e+00,12,4.84e+00,2.31e-01,4.17e-02,5.12e+00
1.41e-03,7.60e+05,1.49e-03,1.46e-03,7.94e+05,-6.54e+00,13,4.83e+00,2.25e-01,4.66e-02,5.11e+00
1.38e-03,7.27e+05,1.46e-03,1.44e-03,7.60e+05,-6.55e+00,14,4.84e+00,2.27e-01,4.30e-02,5.11e+00
1.35e-03,6.93e+05,1.42e-03,1.37e-03,7.13e+05,-6.60e+00,15,4.82e+00,2.27e-01,4.31e-02,5.09e+00
1.32e-03,6.64e+05,1.38e-03,1.33e-03,6.65e+05,-6.63e+00,16,4.86e+00,2.27e-01,4.35e-02,5.13e+00
1.29e-03,6.31e+05,1.35e-03,1.28e-03,6.48e+05,-6.67e+00,17,4.86e+00,2.29e-01,4.26e-02,5.14e+00
1.27e-03,6.16e+05,1.33e-03,1.22e-03,6.19e+05,-6.72e+00,18,4.82e+00,2.31e-01,4.30e-02,5.10e+00
1.25e-03,5.96e+05,1.31e-03,1.22e-03,6.27e+05,-6.72e+00,19,4.84e+00,2.26e-01,3.52e-02,5.10e+00
1.23e-03,5.77e+05,1.28e-03,1.20e-03,6.34e+05,-6.74e+00,20,4.83e+00,2.29e-01,4.32e-02,5.11e+00
1.21e-03,5.63e+05,1.27e-03,1.20e-03,6.15e+05,-6.73e+00,21,4.88e+00,2.30e-01,3.48e-02,5.14e+00
1.19e-03,5.47e+05,1.25e-03,1.20e-03,6.52e+05,-6.73e+00,22,4.88e+00,2.23e-01,3.46e-02,5.14e+00
1.18e-03,5.33e+05,1.23e-03,1.19e-03,6.20e+05,-6.74e+00,23,5.20e+00,2.22e-01,9.16e-02,5.51e+00
1.16e-03,5.13e+05,1.21e-03,1.17e-03,6.11e+05,-6.76e+00,24,4.85e+00,2.25e-01,4.22e-02,5.11e+00
1.15e-03,5.04e+05,1.20e-03,1.14e-03,5.88e+05,-6.79e+00,25,4.85e+00,2.27e-01,4.13e-02,5.12e+00
1.14e-03,5.00e+05,1.19e-03,1.12e-03,5.42e+05,-6.80e+00,26,4.85e+00,2.25e-01,4.20e-02,5.11e+00
1.14e-03,4.93e+05,1.19e-03,1.14e-03,5.08e+05,-6.78e+00,27,4.84e+00,2.29e-01,3.47e-02,5.11e+00
1.11e-03,4.71e+05,1.16e-03,1.10e-03,4.86e+05,-6.82e+00,28,4.84e+00,2.26e-01,4.16e-02,5.11e+00
1.09e-03,4.58e+05,1.14e-03,1.09e-03,4.52e+05,-6.82e+00,29,4.83e+00,2.26e-01,4.15e-02,5.09e+00
1.08e-03,4.44e+05,1.12e-03,1.06e-03,4.33e+05,-6.85e+00,30,4.84e+00,2.28e-01,4.37e-02,5.12e+00
1.06e-03,4.33e+05,1.10e-03,1.02e-03,4.12e+05,-6.89e+00,31,4.84e+00,2.24e-01,4.16e-02,5.10e+00
1.05e-03,4.27e+05,1.10e-03,9.91e-04,3.91e+05,-6.92e+00,32,4.86e+00,2.28e-01,4.33e-02,5.13e+00
1.04e-03,4.13e+05,1.09e-03,9.83e-04,3.77e+05,-6.93e+00,33,4.83e+00,2.28e-01,4.13e-02,5.10e+00
1.03e-03,4.03e+05,1.07e-03,1.00e-03,3.90e+05,-6.91e+00,34,4.86e+00,2.26e-01,3.53e-02,5.12e+00
1.01e-03,3.86e+05,1.05e-03,9.87e-04,3.84e+05,-6.92e+00,35,4.99e+00,2.26e-01,5.32e-02,5.27e+00
9.92e-04,3.76e+05,1.03e-03,9.86e-04,3.85e+05,-6.93e+00,36,4.83e+00,2.30e-01,3.44e-02,5.10e+00
9.79e-04,3.70e+05,1.02e-03,9.69e-04,3.74e+05,-6.94e+00,37,4.85e+00,2.30e-01,4.15e-02,5.12e+00
9.72e-04,3.59e+05,1.01e-03,9.60e-04,3.66e+05,-6.95e+00,38,4.84e+00,2.26e-01,4.27e-02,5.11e+00
9.70e-04,3.57e+05,1.01e-03,9.16e-04,3.90e+05,-7.00e+00,39,4.86e+00,2.27e-01,4.19e-02,5.13e+00
9.63e-04,3.49e+05,9.98e-04,8.94e-04,3.77e+05,-7.02e+00,40,4.85e+00,2.29e-01,4.32e-02,5.12e+00
9.35e-04,3.33e+05,9.68e-04,8.79e-04,3.62e+05,-7.04e+00,41,4.83e+00,2.27e-01,4.20e-02,5.10e+00
9.27e-04,3.28e+05,9.60e-04,9.16e-04,3.83e+05,-7.00e+00,42,4.86e+00,2.30e-01,3.47e-02,5.13e+00
9.16e-04,3.26e+05,9.49e-04,9.02e-04,3.65e+05,-7.01e+00,43,4.85e+00,2.24e-01,3.56e-02,5.11e+00
9.01e-04,3.19e+05,9.33e-04,8.85e-04,3.61e+05,-7.03e+00,44,4.87e+00,2.30e-01,3.45e-02,5.13e+00
8.90e-04,3.10e+05,9.21e-04,8.80e-04,3.72e+05,-7.04e+00,45,4.81e+00,2.28e-01,3.49e-02,5.08e+00
8.81e-04,3.06e+05,9.12e-04,8.89e-04,3.72e+05,-7.03e+00,46,4.87e+00,2.29e-01,3.52e-02,5.13e+00
8.74e-04,3.04e+05,9.05e-04,8.83e-04,3.61e+05,-7.03e+00,47,4.82e+00,2.31e-01,3.44e-02,5.09e+00
8.66e-04,3.00e+05,8.96e-04,8.78e-04,3.62e+05,-7.04e+00,48,4.84e+00,2.25e-01,4.23e-02,5.11e+00
8.60e-04,2.94e+05,8.89e-04,8.75e-04,3.61e+05,-7.04e+00,49,4.85e+00,2.24e-01,4.16e-02,5.11e+00
8.55e-04,2.93e+05,8.84e-04,8.74e-04,3.66e+05,-7.04e+00,50,4.83e+00,2.29e-01,4.30e-02,5.10e+00
8.53e-04,2.89e+05,8.82e-04,8.88e-04,3.59e+05,-7.03e+00,51,4.82e+00,2.44e-01,3.43e-02,5.10e+00
8.44e-04,2.83e+05,8.72e-04,8.89e-04,3.58e+05,-7.03e+00,52,4.83e+00,2.28e-01,3.41e-02,5.09e+00
8.35e-04,2.80e+05,8.63e-04,8.84e-04,3.34e+05,-7.03e+00,53,4.82e+00,2.28e-01,3.78e-02,5.08e+00
8.29e-04,2.77e+05,8.57e-04,8.61e-04,3.24e+05,-7.06e+00,54,4.85e+00,2.23e-01,4.18e-02,5.12e+00
8.17e-04,2.69e+05,8.44e-04,8.53e-04,3.12e+05,-7.07e+00,55,4.83e+00,2.29e-01,4.29e-02,5.10e+00
8.10e-04,2.64e+05,8.37e-04,8.48e-04,3.15e+05,-7.08e+00,56,4.84e+00,2.31e-01,4.26e-02,5.11e+00
8.04e-04,2.62e+05,8.30e-04,8.33e-04,3.03e+05,-7.09e+00,57,4.85e+00,2.31e-01,4.27e-02,5.13e+00
8.01e-04,2.59e+05,8.27e-04,8.34e-04,3.01e+05,-7.09e+00,58,4.84e+00,2.30e-01,3.47e-02,5.11e+00
7.99e-04,2.55e+05,8.24e-04,8.40e-04,2.99e+05,-7.08e+00,59,4.83e+00,2.29e-01,3.43e-02,5.09e+00
7.93e-04,2.53e+05,8.18e-04,8.50e-04,2.91e+05,-7.07e+00,60,4.85e+00,2.30e-01,3.50e-02,5.11e+00
7.89e-04,2.49e+05,8.14e-04,8.54e-04,2.94e+05,-7.07e+00,61,4.82e+00,2.27e-01,3.46e-02,5.08e+00
7.83e-04,2.48e+05,8.07e-04,8.48e-04,2.87e+05,-7.08e+00,62,4.82e+00,2.25e-01,3.57e-02,5.09e+00
7.79e-04,2.44e+05,8.04e-04,8.41e-04,2.80e+05,-7.08e+00,63,4.86e+00,2.31e-01,3.48e-02,5.12e+00
7.73e-04,2.44e+05,7.98e-04,8.42e-04,2.64e+05,-7.08e+00,64,4.74e+00,2.24e-01,3.44e-02,5.00e+00
7.70e-04,2.39e+05,7.94e-04,8.46e-04,2.59e+05,-7.08e+00,65,4.71e+00,2.24e-01,3.44e-02,4.97e+00
